freq,length,fragment
4,4,S.2*NP:SBJ*VBP:HD*ADVP:ADJ + so + RB:HD*so + ADVP:ADJ*RB:HD + attach
4,4,the + DT*the + DT-ART:HD*DT + DTP:PAR*DT-ART:HD + attach
4,7,START.1 + sounds + VBZ:HD*sounds + VP.1*VBZ:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + attach
4,11,START.1 + let + VBP:HD*let + S.1*VBP:HD*NP:COMP*VP:COMP + us + PP:HD*us + NP:COMP*PP:HD + S.2*VBP:HD*NP:COMP*VP:COMP + see + VB:HD*see + VP:COMP*VB:HD + attach
4,11,S.1*NP:SBJ*MD:HD*VP:COMP + will + MD:HD*will + S.2*NP:SBJ*MD:HD*VP:COMP + be + VB:HD*be + VP:COMP.1*VB:HD*AP:COMP + fine + JJ:HD*fine + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
4,9,VP:COMP.1*VB:HD*PP:ADJ + on + IN:HD*on + PP:ADJ.1*IN:HD*NP:COMP + Monday + NP:HD*Monday + NP:COMP*NP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
4,5,NP:COMP.1*NP:HD*NP:ADJ + morning + NN:HD*morning + NP:ADJ*NN:HD + NP:COMP*NP:HD*NP:ADJ + attach
4,4,eighteenth + JJ*eighteenth + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
4,17,START.1 + how + WRB*how + PR-WH:HD*WRB + ADVP:FLQ*PR-WH:HD + S.1*ADVP:FLQ*VBZ:HD*NP:SBJ*VP:COMP + does + VBZ:HD*does + S.2*ADVP:FLQ*VBZ:HD*NP:SBJ*VP:COMP + that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + S.3*ADVP:FLQ*VBZ:HD*NP:SBJ*VP:COMP + sound + VB:HD*sound + VP:COMP*VB:HD + attach
4,5,VP:COMP.1*VB:HD*AP:COMP + alright + JJ:HD*alright + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
4,7,in + IN:HD*in + PP:ADJ.1*IN:HD*NP:COMP + Hanover + NP*Hanover + NP:COMP*NP + PP:ADJ*IN:HD*NP:COMP + attach
4,7,S.1*NP:SBJ*VBZ:HD*AP:COMP + sounds + VBZ:HD*sounds + S.2*NP:SBJ*VBZ:HD*AP:COMP + fine + JJ:HD*fine + AP:COMP*JJ:HD + attach
4,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + okay + JJ:HD*okay + AP:COMP*JJ:HD + attach
4,6,NP:COMP*PR-DM:HD + VP:COMP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*NP:COMP*ADVP:ADJ + attach
4,5,START.1 + alright + UH*alright + TOP.1*UH*UH + bye + UH*bye_1
4,7,to + IN:HD*to + PP:ADJ.1*IN:HD*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
4,7,eight + CD*eight + CNUM:HD.1*CD*CD + thirty + CD*thirty + CNUM:HD*CD*CD + NP:COMP*CNUM:HD + attach
4,16,START.1 + what + WP*what + PR-WH:HD*WP + NP:FLQ*PR-WH:HD + S.1*NP:FLQ*VBP:HD*NP:SBJ*VP:COMP + do + VBP:HD*do + S.2*NP:FLQ*VBP:HD*NP:SBJ*VP:COMP + you + PP:HD*you + NP:SBJ*PP:HD + S.3*NP:FLQ*VBP:HD*NP:SBJ*VP:COMP + think + VB:HD*think + VP:COMP*VB:HD + attach
4,5,START.1 + okay + UH*okay + TOP.1*UH*UH + bye + UH*bye_1
4,8,this + DT*this + DT-DM:HD*DT + DTP:SPR*DT-DM:HD + NP:ADJ.1*DTP:SPR*NN:HD + time + NN:HD*time + NP:ADJ*DTP:SPR*NN:HD + attach
4,11,S.1*NP:SBJ*MD:HD*VP:COMP + would + MD:HD*would + S.2*NP:SBJ*MD:HD*VP:COMP + be + VB:HD*be + VP:COMP.1*VB:HD*AP:COMP + fine + JJ:HD*fine + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
4,5,NP:COMP.1*DTP:SPR*NN:HD + evening + NN:HD*evening + NP:COMP*DTP:SPR*NN:HD + PP:ADJ*IN:HD*NP:COMP + attach
4,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + nice + JJ:HD*nice + AP:COMP*JJ:HD + attach
4,9,S.2*NP:SBJ*VBZ:HD*AP:COMP + pretty + RB*pretty + DG:HD*RB + DGP:SPR*DG:HD + AP:COMP.1*DGP:SPR*JJ:HD + bad + JJ:HD*bad + AP:COMP*DGP:SPR*JJ:HD + attach
3,4,Thursday + NP:HD*Thursday + NP:COMP*NP:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,7,early + JJ:HD*early + AP:ADJ*JJ:HD + NP:COMP.1*AP:ADJ*NP:HD + December + NP:HD*December + NP:COMP*AP:ADJ*NP:HD + attach
3,4,"S.3*NP:SBJ*,:PAR*VBZ:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + attach"
3,8,pretty + RB*pretty + DG:HD*RB + DGP:SPR*DG:HD + AP:COMP.1*DGP:SPR*JJ:HD + good + JJ:HD*good + AP:COMP*DGP:SPR*JJ:HD + attach
3,4,VP.1*VBZ:HD*AP:COMP + great + JJ:HD*great + AP:COMP*JJ:HD + attach
3,6,NP:COMP*PP:HD + VP:COMP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*NP:COMP*ADVP:ADJ + attach
3,4,thirteenth + JJ*thirteenth + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
3,12,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*AP:ADJ*NN:HD + single + JJ:HD*single + AP:ADJ*JJ:HD + NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + room + NN:HD*room + NP:COMP*DTP:SPR*AP:ADJ*NN:HD + attach
3,7,START.1 + eight + CD*eight + CNUM:HD*CD + NP.1*CNUM:HD*NN:ADJ + $A-$M + NN:ADJ*$A-$M + attach
3,5,START.1 + oh + UH*oh + TOP.1*UH*UH + yeah + UH*yeah_1
3,7,two + CD:HD*two + AP:ADJ*CD:HD + NP:COMP.1*AP:ADJ*NNS:HD + hours + NNS:HD*hours + NP:COMP*AP:ADJ*NNS:HD + attach
3,7,S.1*NP:SBJ*VBP:HD*AP:COMP + am + VBP:HD*am + S.2*NP:SBJ*VBP:HD*AP:COMP + sorry + JJ:HD*sorry + AP:COMP*JJ:HD + attach
3,24,START.1 + where + WRB*where + PR-WH:HD*WRB + ADVP:FLQ*PR-WH:HD + S.1*ADVP:FLQ*MD:HD*NP:SBJ*VP:COMP + would + MD:HD*would + S.2*ADVP:FLQ*MD:HD*NP:SBJ*VP:COMP + you + PP:HD*you + NP:SBJ*PP:HD + S.3*ADVP:FLQ*MD:HD*NP:SBJ*VP:COMP + like + VB:HD*like + VP:COMP.1*VB:HD*VP:COMP + to + TO:HD*to + VP:COMP.1*TO:HD*VP:COMP + meet + VB:HD*meet + VP:COMP*VB:HD + VP:COMP*TO:HD*VP:COMP + VP:COMP*VB:HD*VP:COMP + attach
3,10,START.1 + okay + UH*okay + TOP.1*UH*NP + bye + NN*bye + N:HD.1*NN*NN:HD + bye + NN:HD*bye + N:HD*NN*NN:HD + NP*N:HD_1
3,10,START.1 + how + WRB*how + SUGG.1*WRB*RB*NP:COMP + about + RB*about + SUGG.2*WRB*RB*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + attach
3,7,S.1*NP:SBJ*MD:HD*VP:COMP + will + MD:HD*will + S.2*NP:SBJ*MD:HD*VP:COMP + work + VB:HD*work + VP:COMP*VB:HD + attach
3,4,NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + day + NN:HD*day + NP:COMP*DTP:SPR*AP:ADJ*NN:HD + attach
3,4,us + PP:HD*us + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,8,as + RB*as + DG:HD*RB + DGP:SPR*DG:HD + ADVP:ADJ.1*DGP:SPR*RB:HD + well + RB:HD*well + ADVP:ADJ*DGP:SPR*RB:HD + attach
3,5,VP:COMP.1*VB:HD*AP:COMP + okay + JJ:HD*okay + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
3,20,START.1 + hey + UH*hey + TOP.1*UH*S + how + WRB*how + PR-WH:HD*WRB + ADVP:FLQ*PR-WH:HD + S.1*ADVP:FLQ*VBZ:HD*NP:SBJ*VP:COMP + is + VBZ:HD*is + S.2*ADVP:FLQ*VBZ:HD*NP:SBJ*VP:COMP + it + PP:HD*it + NP:SBJ*PP:HD + S.3*ADVP:FLQ*VBZ:HD*NP:SBJ*VP:COMP + going + VBG*going + V-PRP:HD*VBG + VP:COMP*V-PRP:HD + attach
3,4,NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + one + NN:HD*one + NP:COMP*DTP:SPR*AP:ADJ*NN:HD + attach
3,4,all + DT*all + DT-QNT:HD*DT + DTP*DT-QNT:HD + attach
3,8,miss + VB:HD*miss + VP:COMP.1*VB:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + VP:COMP*VB:HD*NP:COMP + attach
3,5,PP:COMP.1*IN:HD*NP:COMP + November + NP:HD*November + NP:COMP*NP:HD + PP:COMP*IN:HD*NP:COMP + attach
3,7,START.1 + thank + VBP:HD*thank + S.1*VBP:HD*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + attach
3,10,START.1 + what + WP*what + SUGG.1*WP*RB*NP:COMP + about + RB*about + SUGG.2*WP*RB*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + attach
3,9,VP:COMP.1*VB:HD*PP:ADJ + on + IN:HD*on + PP:ADJ.1*IN:HD*NP:COMP + Sunday + NP:HD*Sunday + NP:COMP*NP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
3,4,NP:COMP.1*DTP:SPR*NN:HD + time + NN:HD*time + NP:COMP*DTP:SPR*NN:HD + attach
3,8,about + IN:HD*about + PP:ADJ.1*IN:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,4,NP:COMP.1*CNUM:HD*RB:ADJ + o'clock + RB:ADJ*o'clock + NP:COMP*CNUM:HD*RB:ADJ + attach
3,6,PP:ADJ.1*IN:HD*NP:COMP + Monday + NP:HD*Monday + NP:COMP*NP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
3,13,START.1 + how + WRB*how + PR-WH:HD*WRB + ADVP:FLQ*PR-WH:HD + S.1*ADVP:FLQ*VBZ:HD*NP:SBJ + is + VBZ:HD*is + S.2*ADVP:FLQ*VBZ:HD*NP:SBJ + that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + attach
3,11,START.1 + see + VB:HD*see + VP.1*VB:HD*NP:COMP*ADVP:ADJ + you + PP:HD*you + NP:COMP*PP:HD + VP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + attach
3,8,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + single + NN:HD*single + NP:COMP*DTP:SPR*NN:HD + attach
3,7,START.1 + bye + NN*bye + N:HD.1*NN*NN:HD + bye + NN:HD*bye + N:HD*NN*NN:HD + NP*N:HD_1
3,8,S.3*NP:SBJ*VBZ:HD*AP:COMP*PP:COMP + to + IN:HD*to + PP:COMP.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:COMP*IN:HD*NP:COMP + attach
3,7,twelve + CD:HD*twelve + AP:ADJ*CD:HD + NP:COMP.1*AP:ADJ*NNS:HD + hours + NNS:HD*hours + NP:COMP*AP:ADJ*NNS:HD + attach
3,6,NP:COMP.1*DTP:SPR*ONUM:HD + eleventh + JJ*eleventh + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,10,VP:COMP.1*VB:HD*NP:COMP*ADVP:ADJ + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + VP:COMP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*NP:COMP*ADVP:ADJ + attach
3,11,about + RB:HD*about + ADVP:ADJ*RB:HD + NP:COMP.1*ADVP:ADJ*AP:ADJ*NNS:HD + two + CD:HD*two + AP:ADJ*CD:HD + NP:COMP.2*ADVP:ADJ*AP:ADJ*NNS:HD + hours + NNS:HD*hours + NP:COMP*ADVP:ADJ*AP:ADJ*NNS:HD + attach
3,10,START.1 + well + UH*well + TOP.1*UH*S + let + VBP:HD*let + S.1*VBP:HD*NP:COMP + us + PP:HD*us + NP:COMP*PP:HD + attach
3,5,START.1 + okay + UH*okay + TOP.1*UH*UH + great + UH*great_1
3,4,three + CD*three + CNUM:HD*CD + NP*CNUM:HD + attach
3,4,nine + CD*nine + CNUM:HD*CD + NP*CNUM:HD + attach
3,4,seven + CD*seven + CNUM:HD*CD + NP:COMP*CNUM:HD + attach
3,22,START.1 + great + UH*great + TOP.1*UH*S + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*MD:HD*VP:COMP + will + MD:HD*will + S.2*NP:SBJ*MD:HD*VP:COMP + see + VB:HD*see + VP:COMP.1*VB:HD*NP:COMP*ADVP:ADJ + you + PP:HD*you + NP:COMP*PP:HD + VP:COMP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + VP:COMP*VB:HD*NP:COMP*ADVP:ADJ + attach
3,7,my + PP$:HD*my + NP:SPR*PP$:HD + NP:COMP.1*NP:SPR*NN:HD + office + NN:HD*office + NP:COMP*NP:SPR*NN:HD + attach
3,12,S.2*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ + good + JJ:HD*good + AP:COMP*JJ:HD + S.3*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ + for + IN:HD*for + PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,8,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + day + NN:HD*day + NP:COMP*DTP:SPR*NN:HD + attach
3,7,START.1 + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD + guess + VBP:HD*guess + attach
3,5,NP.1*DTP:SPR*ONUM:HD + thirtieth + JJ*thirtieth + ONUM:HD*JJ + NP*DTP:SPR*ONUM:HD + attach
3,8,central + JJ:HD*central + AP:ADJ*JJ:HD + NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + station + NN:HD*station + NP:COMP*DTP:SPR*AP:ADJ*NN:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,7,with + IN:HD*with + PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,11,TOP.1*S*S + let + VBP:HD*let + S.1*VBP:HD*NP:COMP*VP:COMP + us + PP:HD*us + NP:COMP*PP:HD + S.2*VBP:HD*NP:COMP*VP:COMP + see + VB:HD*see + VP:COMP*VB:HD + attach
3,6,PP:ADJ.1*IN:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,15,START.1 + sounds + VBZ:HD*sounds + VP.1*VBZ:HD*AP:COMP*PP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + VP.2*VBZ:HD*AP:COMP*PP:COMP + to + IN:HD*to + PP:COMP.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:COMP*IN:HD*NP:COMP + attach
3,7,thirty + CD*thirty + ONUM:HD.1*CD*JJ + first + JJ*first + ONUM:HD*CD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
3,4,NP.2*ADVP:ADJ*NP:HD*NP:ADJ + afternoon + NN:HD*afternoon + NP:ADJ*NN:HD + attach
3,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + fantastic + JJ:HD*fantastic + AP:COMP*JJ:HD + attach
3,4,hotel + NN:HD*hotel + NP:COMP*DTP:SPR*NN:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,7,START.1 + twelve + CD:HD*twelve + AP:ADJ*CD:HD + NP.1*AP:ADJ*NNS:HD + hours + NNS:HD*hours + attach
3,12,the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:ADJ.1*DTP:SPR*AP:ADJ*NN:HD + whole + JJ:HD*whole + AP:ADJ*JJ:HD + NP:ADJ.2*DTP:SPR*AP:ADJ*NN:HD + day + NN:HD*day + NP:ADJ*DTP:SPR*AP:ADJ*NN:HD + attach
3,4,what + WP*what + PR-WH:HD*WP + NP:COMP*PR-WH:HD + attach
3,14,START.1 + okay + UH*okay + TOP.1*UH*VP + see + VB:HD*see + VP.1*VB:HD*NP:COMP*ADVP:ADJ + you + PP:HD*you + NP:COMP*PP:HD + VP.2*VB:HD*NP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + attach
3,4,twelfth + JJ*twelfth + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
3,4,NP:COMP.1*DTP:SPR*NP:HD + Tuesday + NP:HD*Tuesday + NP:COMP*DTP:SPR*NP:HD + attach
3,7,S.1*NP:SBJ*VBZ:HD*AP:COMP + sounds + VBZ:HD*sounds + S.2*NP:SBJ*VBZ:HD*AP:COMP + great + JJ:HD*great + AP:COMP*JJ:HD + attach
3,7,START.1 + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD + think + VBP:HD*think + attach
3,7,ten + CD*ten + CNUM:HD*CD + NP:COMP.1*CNUM:HD*RB:ADJ + o'clock + RB:ADJ*o'clock + NP:COMP*CNUM:HD*RB:ADJ + attach
3,4,S.3*NP:SBJ*VBP:HD*PP:COMP*ADVP:ADJ + then + RB:HD*then + ADVP:ADJ*RB:HD + attach
3,4,least + RBS*least + DG:HD*RBS + DGP:COMP*DG:HD + attach
3,5,PP:ADJ*IN:HD*NP:COMP + S.4*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ*ADVP:ADJ + too + RB:HD*too + ADVP:ADJ*RB:HD + attach
3,4,S.2*VBP:HD*NP:COMP*VP:COMP + see + VB:HD*see + VP:COMP*VB:HD + attach
3,5,NP:COMP.1*DTP:SPR*ONUM:HD + fifth + JJ*fifth + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
3,7,express + JJ:HD*express + AP:ADJ*JJ:HD + NP:COMP.1*AP:ADJ*NNS:HD + flights + NNS:HD*flights + NP:COMP*AP:ADJ*NNS:HD + attach
3,7,Saturday + NP:HD*Saturday + NP:ADJ.1*NP:HD*NP:ADJ + night + NN:HD*night + NP:ADJ*NN:HD + NP:ADJ*NP:HD*NP:ADJ + attach
3,4,S.2*NP:SBJ*VBP:HD*AP:COMP + okay + JJ:HD*okay + AP:COMP*JJ:HD + attach
3,5,NP:COMP.1*DTP:SPR*ONUM:HD + eighteenth + JJ*eighteenth + ONUM:HD*JJ + NP:COMP*DTP:SPR*ONUM:HD + attach
3,4,NP:COMP.1*DTP:SPR*NN:HD + problem + NN:HD*problem + NP:COMP*DTP:SPR*NN:HD + attach
3,5,PP:ADJ.1*IN:HD*NP:COMP + Wednesday + NP:HD*Wednesday + NP:COMP*NP:HD + PP:ADJ*IN:HD*NP:COMP + attach
3,8,that + DT*that + DT-DM:HD*DT + DTP:SPR*DT-DM:HD + NP:ADJ.1*DTP:SPR*NN:HD + day + NN:HD*day + NP:ADJ*DTP:SPR*NN:HD + attach
3,7,START.1 + you + PP:HD*you + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD + know + VBP:HD*know + attach
3,4,S.2*NP:SBJ*VBZ:HD*AP:COMP + reasonable + JJ:HD*reasonable + AP:COMP*JJ:HD + attach
3,10,PP:ADJ.1*IN:HD*NP:COMP + my + PP$:HD*my + NP:SPR*PP$:HD + NP:COMP.1*NP:SPR*NN:HD + office + NN:HD*office + NP:COMP*NP:SPR*NN:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
3,6,VP:COMP.1*TO:HD*VP:COMP + meet + VB:HD*meet + VP:COMP*VB:HD + VP:COMP*TO:HD*VP:COMP + VP:COMP*VB:HD*VP:COMP + attach
3,4,December + NP:HD*December + NP:COMP*NP:HD + PP:COMP*IN:HD*NP:COMP + attach
3,5,PP.1*IN:HD*NP:COMP + one + CD*one + CNUM:HD*CD + NP:COMP*CNUM:HD + attach
3,11,S.1*NP:SBJ*MD:HD*VP:COMP + would + MD:HD*would + S.2*NP:SBJ*MD:HD*VP:COMP + be + VB:HD*be + VP:COMP.1*VB:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + VP:COMP*VB:HD*AP:COMP + attach
3,11,START.1 + how + WRB*how + SUGG.1*WRB*RB*NP:COMP + about + RB*about + SUGG.2*WRB*RB*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + attach
3,7,S.1*NP:SBJ*VBZ:HD*AP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + attach
